gi|495643805|ref|WP_008368384.1|	hypothetical protein partial [Coprococcus comes] 
gi|488386756|ref|WP_002456141.1|	MULTISPECIES: phage replication protein O N-terminal domain protein [Bacteria] 
gi|495643832|ref|WP_008368411.1|	MULTISPECIES: hypothetical protein partial [Bacteria] 
gi|446460805|ref|WP_000538659.1|	MULTISPECIES: hypothetical protein [Bacteria][Archaea] 
gi|495643876|ref|WP_008368455.1|	hypothetical protein partial [Coprococcus comes] 
gi|495643894|ref|WP_008368473.1|	hypothetical protein [Coprococcus comes] 
gi|495643896|ref|WP_008368475.1|	hypothetical protein [Coprococcus comes] 
gi|495643899|ref|WP_008368478.1|	hypothetical protein [Coprococcus comes] 
gi|495643900|ref|WP_008368479.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|495643902|ref|WP_008368481.1|	hypothetical protein [Coprococcus comes] 
gi|495643905|ref|WP_008368484.1|	MULTISPECIES: transcription antiterminator BglG [Coprococcus] 
gi|495643907|ref|WP_008368486.1|	hypothetical protein [Coprococcus comes] 
gi|495643909|ref|WP_008368488.1|	hypothetical protein [Coprococcus comes] 
gi|495643911|ref|WP_008368490.1|	hypothetical protein [Coprococcus comes] 
gi|495643912|ref|WP_008368491.1|	MULTISPECIES: PTS galactitol transporter subunit IIC [Coprococcus] 
gi|495643913|ref|WP_008368492.1|	hypothetical protein [Coprococcus comes] 
gi|495643914|ref|WP_008368493.1|	PTS glucose transporter subunit IIB [Coprococcus comes] 
gi|495643915|ref|WP_008368494.1|	MULTISPECIES: transporter [Coprococcus] 
gi|495643916|ref|WP_008368495.1|	peptide ABC transporter ATP-binding protein [Coprococcus comes] 
gi|495643917|ref|WP_008368496.1|	MULTISPECIES: amino acid ABC transporter permease [Coprococcus] 
gi|495643918|ref|WP_008368497.1|	ABC transporter substrate-binding protein [Coprococcus comes] 
gi|495643919|ref|WP_008368498.1|	hypothetical protein [Coprococcus comes] 
gi|495643920|ref|WP_008368499.1|	MULTISPECIES: ATP-binding protein [Coprococcus] 
gi|495643921|ref|WP_008368500.1|	MULTISPECIES: aspartate aminotransferase [Coprococcus] 
gi|495643922|ref|WP_008368501.1|	MULTISPECIES: diaminopimelate epimerase [Coprococcus] 
gi|495643923|ref|WP_008368502.1|	MULTISPECIES: transcription antitermination regulator [Coprococcus] 
gi|495643924|ref|WP_008368503.1|	MULTISPECIES: glutamine synthetase [Coprococcus] 
gi|495643925|ref|WP_008368504.1|	hypothetical protein [Coprococcus comes] 
gi|495643926|ref|WP_008368505.1|	phosphate acetyltransferase [Coprococcus comes] 
gi|495643927|ref|WP_008368506.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|495643928|ref|WP_008368507.1|	MULTISPECIES: histidine kinase [Coprococcus] 
gi|495643929|ref|WP_008368508.1|	MULTISPECIES: ArsR family transcriptional regulator [Coprococcus] 
gi|495643930|ref|WP_008368509.1|	hypothetical protein [Coprococcus comes] 
gi|495643931|ref|WP_008368510.1|	phosphatidate cytidylyltransferase [Coprococcus comes] 
gi|495643932|ref|WP_008368511.1|	hypothetical protein [Coprococcus comes] 
gi|495643933|ref|WP_008368512.1|	phosphate ABC transporter ATPase [Coprococcus comes] 
gi|495643934|ref|WP_008368513.1|	MULTISPECIES: phosphate ABC transporter permease [Coprococcus] 
gi|495643935|ref|WP_008368514.1|	MULTISPECIES: phosphate ABC transporter permease [Coprococcus] 
gi|495643936|ref|WP_008368515.1|	MULTISPECIES: phosphate-binding protein [Coprococcus] 
gi|495643937|ref|WP_008368516.1|	hypothetical protein [Coprococcus comes] 
gi|495643938|ref|WP_008368517.1|	hypothetical protein [Coprococcus comes] 
gi|495643939|ref|WP_008368518.1|	MULTISPECIES: glucosaminidase [Coprococcus] 
gi|495643940|ref|WP_008368519.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|495643942|ref|WP_008368521.1|	cysteine transferase [Coprococcus comes] 
gi|495643943|ref|WP_008368522.1|	beta-galactosidase [Coprococcus comes] 
gi|495643945|ref|WP_008368524.1|	hypothetical protein [Coprococcus comes] 
gi|495643947|ref|WP_008368526.1|	hypothetical protein [Coprococcus comes] 
gi|495643949|ref|WP_008368528.1|	MULTISPECIES: membrane protein [Coprococcus] 
gi|495643951|ref|WP_008368530.1|	hypothetical protein [Coprococcus comes] 
gi|495643954|ref|WP_008368533.1|	hypothetical protein [Coprococcus comes] 
gi|495643955|ref|WP_008368534.1|	MULTISPECIES: [citrate [pro-3S]-lyase] ligase [Coprococcus] 
gi|495643957|ref|WP_008368536.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|495643959|ref|WP_008368538.1|	MULTISPECIES: acyltransferase [Coprococcus] 
gi|495643961|ref|WP_008368540.1|	MULTISPECIES: nucleotidyltransferase [Coprococcus] 
gi|495643963|ref|WP_008368542.1|	MULTISPECIES: nucleotidyltransferase [Coprococcus] 
gi|495643965|ref|WP_008368544.1|	MULTISPECIES: GntR family transcriptional regulator [Coprococcus] 
gi|495643967|ref|WP_008368546.1|	MULTISPECIES: ABC transporter [Coprococcus] 
gi|495643969|ref|WP_008368548.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|495643971|ref|WP_008368550.1|	hypothetical protein [Coprococcus comes] 
gi|495643973|ref|WP_008368552.1|	hypothetical protein [Coprococcus comes] 
gi|495643976|ref|WP_008368555.1|	hypothetical protein [Coprococcus comes] 
gi|495643979|ref|WP_008368558.1|	DNA repair protein RadA [Coprococcus comes] 
gi|495643981|ref|WP_008368560.1|	hypothetical protein [Coprococcus comes] 
gi|495643983|ref|WP_008368562.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|495643985|ref|WP_008368564.1|	MULTISPECIES: ATP-dependent Clp protease ATP-binding protein [Coprococcus] 
gi|495643987|ref|WP_008368566.1|	MULTISPECIES: GntR family transcriptional regulator [Coprococcus] 
gi|495643989|ref|WP_008368568.1|	hydroxylamine reductase [Coprococcus comes] 
gi|495643991|ref|WP_008368570.1|	MULTISPECIES: phosphoglucosamine mutase [Coprococcus] 
gi|495643993|ref|WP_008368572.1|	MULTISPECIES: tryptophanyl-tRNA synthase [Coprococcus] 
gi|495643994|ref|WP_008368573.1|	large conductance mechanosensitive channel protein MscL [Coprococcus comes] 
gi|495643996|ref|WP_008368575.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|495643998|ref|WP_008368577.1|	hydrolase [Coprococcus comes] 
gi|495644000|ref|WP_008368579.1|	hypothetical protein [Coprococcus comes] 
gi|495644002|ref|WP_008368581.1|	hypothetical protein [Coprococcus comes] 
gi|495644005|ref|WP_008368584.1|	MULTISPECIES: heavy metal transporter [Coprococcus] 
gi|495644006|ref|WP_008368585.1|	hypothetical protein [Coprococcus comes] 
gi|495644009|ref|WP_008368588.1|	MULTISPECIES: coenzyme PQQ biosynthesis protein E [Coprococcus] 
gi|495644011|ref|WP_008368590.1|	hypothetical protein [Coprococcus comes] 
gi|495644013|ref|WP_008368592.1|	transposase [Coprococcus comes] 
gi|495644015|ref|WP_008368594.1|	hypothetical protein [Coprococcus comes] 
gi|495644017|ref|WP_008368596.1|	multidrug transporter MatE [Coprococcus comes] 
gi|495644019|ref|WP_008368598.1|	hypothetical protein [Coprococcus comes] 
gi|495644021|ref|WP_008368600.1|	MarR family transcriptional regulator [Coprococcus comes] 
gi|495644024|ref|WP_008368603.1|	hypothetical protein [Coprococcus comes] 
gi|495644026|ref|WP_008368605.1|	hypothetical protein [Coprococcus comes] 
gi|495644028|ref|WP_008368607.1|	hypothetical protein [Coprococcus comes] 
gi|495644030|ref|WP_008368609.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|495644032|ref|WP_008368611.1|	MULTISPECIES: thiamine biosynthesis protein ThiF [Coprococcus] 
gi|495644034|ref|WP_008368613.1|	MULTISPECIES: thiazole synthase [Coprococcus] 
gi|495644036|ref|WP_008368615.1|	thiamine biosynthesis protein ThiH [Coprococcus comes] 
gi|495644038|ref|WP_008368617.1|	hypothetical protein [Coprococcus comes] 
gi|495644040|ref|WP_008368619.1|	hypothetical protein [Coprococcus comes] 
gi|495644042|ref|WP_008368621.1|	hypothetical protein [Coprococcus comes] 
gi|495644044|ref|WP_008368623.1|	hypothetical protein [Coprococcus comes] 
gi|495644046|ref|WP_008368625.1|	divalent cation transporter [Coprococcus comes] 
gi|495644048|ref|WP_008368627.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|495644049|ref|WP_008368628.1|	hypothetical protein [Coprococcus comes] 
gi|495644051|ref|WP_008368630.1|	hypothetical protein [Coprococcus comes] 
gi|495644053|ref|WP_008368632.1|	hypothetical protein [Coprococcus comes] 
gi|495644055|ref|WP_008368634.1|	hypothetical protein [Coprococcus comes] 
gi|495644057|ref|WP_008368636.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|495644059|ref|WP_008368638.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|495644061|ref|WP_008368640.1|	ribose ABC transporter permease [Coprococcus comes] 
gi|495644063|ref|WP_008368642.1|	hypothetical protein [Coprococcus comes] 
gi|495644065|ref|WP_008368644.1|	hypothetical protein [Coprococcus comes] 
gi|495644066|ref|WP_008368645.1|	hypothetical protein [Coprococcus comes] 
gi|495644068|ref|WP_008368647.1|	hypothetical protein [Coprococcus comes] 
gi|495644070|ref|WP_008368649.1|	hypothetical protein [Coprococcus comes] 
gi|495644072|ref|WP_008368651.1|	dipeptidase [Coprococcus comes] 
gi|495644074|ref|WP_008368653.1|	hypothetical protein [Coprococcus comes] 
gi|495644076|ref|WP_008368655.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|495644078|ref|WP_008368657.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|495644080|ref|WP_008368659.1|	hypothetical protein [Coprococcus comes] 
gi|495644082|ref|WP_008368661.1|	hypothetical protein [Coprococcus comes] 
gi|495644084|ref|WP_008368663.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|495644085|ref|WP_008368664.1|	hypothetical protein [Coprococcus comes] 
gi|495644087|ref|WP_008368666.1|	hypothetical protein [Coprococcus comes] 
gi|495644089|ref|WP_008368668.1|	hypothetical protein [Coprococcus comes] 
gi|495644091|ref|WP_008368670.1|	hypothetical protein [Coprococcus comes] 
gi|495644093|ref|WP_008368672.1|	hypothetical protein [Coprococcus comes] 
gi|495644095|ref|WP_008368674.1|	hypothetical protein [Coprococcus comes] 
gi|495644098|ref|WP_008368677.1|	MULTISPECIES: DNA mismatch repair protein MutT [Coprococcus] 
gi|495644100|ref|WP_008368679.1|	hypothetical protein [Coprococcus comes] 
gi|495644102|ref|WP_008368681.1|	hypothetical protein [Coprococcus comes] 
gi|495644104|ref|WP_008368683.1|	hypothetical protein [Coprococcus comes] 
gi|495644106|ref|WP_008368685.1|	hypothetical protein [Coprococcus comes] 
gi|495644108|ref|WP_008368687.1|	hypothetical protein [Coprococcus comes] 
gi|495644110|ref|WP_008368689.1|	hypothetical protein [Coprococcus comes] 
gi|495644112|ref|WP_008368691.1|	hypothetical protein [Coprococcus comes] 
gi|495644114|ref|WP_008368693.1|	hypothetical protein [Coprococcus comes] 
gi|495644116|ref|WP_008368695.1|	hypothetical protein [Coprococcus comes] 
gi|495644118|ref|WP_008368697.1|	MULTISPECIES: phosphoserine phosphatase [Coprococcus] 
gi|495644120|ref|WP_008368699.1|	MULTISPECIES: 2-hydroxyglutaryl-CoA dehydratase [Coprococcus] 
gi|495644122|ref|WP_008368701.1|	MULTISPECIES: 2-hydroxyglutaryl-CoA dehydratase [Coprococcus] 
gi|495644124|ref|WP_008368703.1|	hypothetical protein [Coprococcus comes] 
gi|495644126|ref|WP_008368705.1|	DNA-binding protein [Coprococcus comes] 
gi|495644128|ref|WP_008368707.1|	hypothetical protein [Coprococcus comes] 
gi|495644130|ref|WP_008368709.1|	hypothetical protein [Coprococcus comes] 
